ward_id,emis_power_co,emis_industry_co,emis_residential_co,emis_transport_co,emis_power_nox,emis_industry_nox,emis_residential_nox,emis_transport_nox,emis_power_pm25,emis_industry_pm25,emis_residential_pm25,emis_transport_pm25,emis_power_so2,emis_industry_so2,emis_residential_so2,emis_transport_so2,emis_total_pm25,emis_total_co,emis_total_so2,emis_total_nox
125,405.298,24464.1,41054.5,1061.95,221.78,4047.79,883.271,658.949,3.13224,3603.47,3272.04,26.6803,0.985225,4026.59,1603.05,0.77878,6905.322539999999,66985.848,5631.404004999999,5811.789999999999
126,405.298,24464.1,41054.5,1061.95,221.78,4047.79,883.271,658.949,3.13224,3603.47,3272.04,26.6803,0.985225,4026.59,1603.05,0.77878,6905.322539999999,66985.848,5631.404004999999,5811.789999999999
127,405.298,24464.1,41054.5,1061.95,221.78,4047.79,883.271,658.949,3.13224,3603.47,3272.04,26.6803,0.985225,4026.59,1603.05,0.77878,6905.322539999999,66985.848,5631.404004999999,5811.789999999999
128,405.298,17925.7,40620.2,1779.69,221.78,4134.9,873.926,1066.26,3.13224,2602.29,3237.42,43.9766,0.985225,3860.68,1586.09,1.29116,5886.81884,60730.888,5449.046385,6296.866
129,405.298,17925.7,40620.2,1779.69,221.78,4134.9,873.926,1066.26,3.13224,2602.29,3237.42,43.9766,0.985225,3860.68,1586.09,1.29116,5886.81884,60730.888,5449.046385,6296.866
136,405.298,24464.1,41054.5,1061.95,221.78,4047.79,883.271,658.949,3.13224,3603.47,3272.04,26.6803,0.985225,4026.59,1603.05,0.77878,6905.322539999999,66985.848,5631.404004999999,5811.789999999999
137,405.298,24464.1,41054.5,1061.95,221.78,4047.79,883.271,658.949,3.13224,3603.47,3272.04,26.6803,0.985225,4026.59,1603.05,0.77878,6905.322539999999,66985.848,5631.404004999999,5811.789999999999
209,2148.26,56552.8,49628.1,2948.08,1353.21,9357.13,1067.73,1075.98,61.2495,8330.01,3955.35,57.2499,348.707,9308.13,1937.82,1.83746,12403.859400000001,111277.24,11596.49446,12854.05
21,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
210,70.2222,56552.8,49628.1,2948.08,105.467,9357.13,1067.73,1075.98,17.3895,8330.01,3955.35,57.2499,129.778,9308.13,1937.82,1.83746,12359.9994,109199.2022,11377.56546,11606.306999999999
