ward_id,ward_name,ward_lat,ward_lon,point_id,dist_to_grid_km,nearest_station_id,dist_to_station_km,road_km_3km,road_capacity_3km,industry_count_5km,vulnerable_sites_3km
5,BHALASWA JAHAGIR PUR,28.76843,77.16019,27,4.02,8235,4.09,75.68,393.5,36.0,3.0
7,BURARI,28.76791,77.19926,28,5.34,5541,4.7,20.59,41.1,32.0,1.0
220,PATPARGANJ,28.61052,77.29246,17,4.79,6960,1.56,118.47,313.0,40.0,81.0
224,PANDAV NAGAR,28.62264,77.27642,16,4.36,6254665,0.87,177.0,846.9,51.0,65.0
221,KISHAN KUNJ,28.63551,77.27282,16,5.08,5742,1.25,177.0,846.9,51.0,65.0
233,DHARAMPURA,28.66631,77.26239,22,4.34,7434,2.59,115.08,719.0,25.0,36.0
251,NEW USMANPUR,28.68119,77.25947,22,2.83,16,3.26,115.08,719.0,25.0,36.0
253,BHAJANPURA,28.69632,77.25864,22,1.86,8475,1.81,115.08,719.0,25.0,36.0
267,NEHRU VIHAR,28.70851,77.26438,22,2.56,8475,1.47,115.08,719.0,25.0,36.0
177,SAID UL AJAIB,28.47353,77.22614,10,3.24,6254666,3.31,49.2,144.5,18.0,50.0
178,SANGAM VIHAR,28.48647,77.2256,10,2.06,6254666,2.52,49.2,144.5,18.0,50.0
170,MEHRAULI,28.51776,77.18634,9,4.94,10484,1.56,34.51,149.7,16.0,7.0
186,SANGAM VIHAR WEST,28.49489,77.2434,10,0.66,6934,2.13,49.2,144.5,18.0,50.0
179,TIGRI,28.50002,77.23043,10,0.94,6254666,2.95,49.2,144.5,18.0,50.0
205,ZAKIR NAGAR,28.57112,77.27969,16,5.03,5766,2.19,177.0,846.9,51.0,65.0
138,NAJAFGARH,28.61392,76.97894,13,4.1,5622,5.26,69.92,258.7,7.0,9.0
20,JAHANGIR PURI -II,28.73447,77.16703,21,4.65,8235,0.4,135.07,435.8,59.0,163.0
121,KUNWAR SINGH NAGAR,28.64284,77.04365,14,4.78,5622,3.91,124.23,323.1,16.0,115.0
124,VIKAS NAGAR,28.63781,77.07033,14,5.14,5581,4.19,124.23,323.1,16.0,115.0
123,VIKAS PURI,28.62961,77.05766,14,3.72,5622,3.35,124.23,323.1,16.0,115.0
113,MAHAVIR NAGAR,28.63487,77.07727,14,5.32,5581,3.5,124.23,323.1,16.0,115.0
153,DARYAGANJ,28.63011,77.24876,16,3.46,103,0.74,177.0,846.9,51.0,65.0
93,BALJIT NAGAR,28.65681,77.1599,21,5.18,5610,0.15,135.07,435.8,59.0,163.0
32,NILOTHI,28.66668,77.05229,20,3.89,10486,3.1,67.72,474.5,13.0,22.0
36,PRATAP VIHAR,28.69139,77.05141,20,1.47,10486,2.57,67.72,474.5,13.0,22.0
33,PREM NAGAR,28.70541,77.05734,20,1.79,10486,2.97,67.72,474.5,13.0,22.0
73,SHASTRI NAGAR,28.67402,77.18332,21,5.12,8917,2.38,135.07,435.8,59.0,163.0
107,VISHNU GARDEN,28.64737,77.09758,15,6.7,5540,3.86,82.28,398.0,24.0,61.0
270,TUKHMIR PUR,28.71477,77.26163,22,2.67,8475,1.28,115.08,719.0,25.0,36.0
142,RAJ NAGAR,28.57342,77.08325,14,5.15,6931,1.14,124.23,323.1,16.0,115.0
